Nombre,Subcategoria,Precio,Ruta de la Imagen,Calorias,Grasas,Carbohidratos,Proteínas,Fibra,Sal,Azúcares,supermercado,Categoria
ARTIACH Dinosaurus Galletas cubiertas de chocolate blanco 264 g.,Desayuno y Merienda,"4,96 €",img_alcampo/Desayuno y Merienda\ARTIACH_Dinosaurus_Galletas_cubiertas_de_chocolate_blanco_264_g._100.jpg,137,7.1,13.9,23.7,0.0,0.1,9.1,Alcampo,Alimentos Procesados
Ensaladilla de cangrejo Hacendado,Platos preparados fríos,"1,80 €",img_mercadona\Platos_preparados_fríos\Ensaladilla\Ensaladilla_de_cangrejo_Hacendado_0.jpg,65.0,0.2,12.0,2.5,1.46,1.57,0.63,Mercadona,Alimentos Procesados
Licor crema de fresa Royal Swan,Licores,"6,50 €",img_mercadona\Licores\Cremas\Licor_crema_de_fresa_Royal_Swan_1.jpg,179.68,6.74,20.81,8.41,0.0,0.0,3.86,Mercadona,Bebidas
Azúcar vainillado Hacendado,Velas y decoración,"1,00 €",img_mercadona\Velas_y_decoración\Decoración\Azúcar_vainillado_Hacendado_4.jpg,57.0,0.5,3.4,11.0,0.12,0.0,95.64,Mercadona,Otros
Trucha asalmonada grande mostrador - Filetes,pescados_mariscos_moluscos,"1,82 €",img_alcampo/pescados_mariscos_moluscos\Trucha_asalmonada_grande_mostrador_-_Filetes_66.jpg,141,18.6,9.4,27.2,0.0,0.7,5.1,Alcampo,Carnes y Pescados
Empanada rellena de pollo y setas con crema de queso,Bollería de horno,"3,60 €",img_mercadona\Bollería_de_horno\Bollería_salada\Empanada_rellena_de_pollo_y_setas_con_crema_de_queso_4.jpg,269.55,14.2,31.46,3.95,1.85,2.64,3.26,Mercadona,Dulces y Snacks
Lenguadina mostrador - Entera limpia,pescados_mariscos_moluscos,"1,27 €",img_alcampo/pescados_mariscos_moluscos\Lenguadina_mostrador_-_Entera_limpia_74.jpg,142,12.8,2.4,28.7,0.0,1.0,2.9,Alcampo,Carnes y Pescados
Queso en porciones light Hacendado,"Queso lonchas, rallado y en porciones","1,52 €","img_mercadona\Queso_lonchas,_rallado_y_en_porciones\Queso_en_porciones\Queso_en_porciones_light_Hacendado_2.jpg",179.68,6.74,20.81,8.41,0.03,1.17,0.15,Mercadona,Lácteos y Huevos
MILKIMI Queso emmental sin lactosa MILKIMI 100 g.,Quesos,"1,69 €",img_alcampo/Quesos\MILKIMI_Queso_emmental_sin_lactosa_MILKIMI_100_g._281.jpg,195,5.3,12.2,22.0,0.0,1.1,9.8,Alcampo,Lácteos y Huevos
OSCAR MAYER Salchichas cocidas con queso y sabor ahumado OSCAR MAYER Jumbo 350 g.,Charcuteria,"3,79 €",img_alcampo/Charcuteria\OSCAR_MAYER_Salchichas_cocidas_con_queso_y_sabor_ahumado_OSCAR_MAYER_Jumbo_350_g._119.jpg,129,14.7,19.1,12.0,0.0,2.0,8.8,Alcampo,Carnes y Pescados
Ginger ale Schweppes lata 33 cl,AguaRefrescosZumos,"0,99 €",https://www.dia.es/product_images/241284/241284_ISO_0_ES.jpg?imwidth=176,19kcal,0g,"4,6g",0g,0.0,"0,01g",0.0,Día,Bebidas
PRODUCTO ALCAMPO Pimientos rojos de categoría extra lata de 60 g.,Conservas Vegetales,"1,99 €",img_alcampo/Conservas Vegetales\PRODUCTO_ALCAMPO_Pimientos_rojos_de_categoría_extra_lata_de_60_g._11.jpg,181,13.2,21.2,19.2,0.0,0.8,6.5,Alcampo,Alimentos Procesados
Galletas caramelizadas Lotus Biscoff paquete 250 g,GalletasBollosCereales,"1,89 €",https://www.dia.es/product_images/275425/275425_ISO_0_ES.jpg?imwidth=176,484kcal,19g,"72,6g","4,9g",0.42498364944408107,"0,92g",0.0,Día,Alimentos Procesados
Salsa de soja Kikkoman frasco 250 ml,AceitesSalsasEspecias,"4,69 €",https://www.dia.es/product_images/166529/166529_ISO_0_ES.jpg?imwidth=176,77kcal,0g,"3,2g",10g,0.7854950495049505,"16,9g",0.0,Día,Alimentos Básicos
Pimentón ahumado dulce Vegecampo de Dia lata 75 g,AceitesSalsasEspecias,"1,40 €",https://www.dia.es/product_images/205709/205709_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Alimentos Básicos
Pipas girasol tostadas Hacendado gigante aguasal,Frutos secos y fruta desecada,"1,20 €",img_mercadona\Frutos_secos_y_fruta_desecada\Frutos_secos\Pipas_girasol_tostadas_Hacendado_gigante_aguasal_6.jpg,468.42,34.12,21.1,14.28,3.42,0.39,8.4,Mercadona,Frutas y Verduras
Hummus de garbanzos Hacendado con olivas de kalamata,Platos preparados fríos,"1,45 €",img_mercadona\Platos_preparados_fríos\Hummus_y_otros\Hummus_de_garbanzos_Hacendado_con_olivas_de_kalamata_2.jpg,90.57,4.95,8.55,1.9,4.04,0.92,0.44,Mercadona,Alimentos Procesados
AUCHAN Yogur desnatado (0.0% materia grasa) con trozos de melocotón 4 x 125 g. Producto Alcampo,Yogures,"1,44 €",img_alcampo/Yogures\AUCHAN_Yogur_desnatado_(0.0%_materia_grasa)_con_trozos_de_melocotón_4_x_125_g._Producto_Alcampo_203.jpg,202,12.0,6.2,24.5,0.0,1.5,6.8,Alcampo,Lácteos y Huevos
Chopped cerdo Hacendado lonchas,Chopped y mortadela,"1,39 €",img_mercadona\Chopped_y_mortadela\Chopped\Chopped_cerdo_Hacendado_lonchas_0.jpg,50.0,3.78,1.53,2.73,0.42,2.11,1.91,Mercadona,Carnes y Pescados
Puerros bandeja 500 g,Verduras,"2,29 €",https://www.dia.es/product_images/17230/17230_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Frutas y Verduras
Barritas de barquillo Hacendado con relleno de avellana cubiertas de chocolate con leche,Chocolate,"1,70 €",img_mercadona\Chocolate\Chocolatinas\Barritas_de_barquillo_Hacendado_con_relleno_de_avellana_cubiertas_de_chocolate_con_leche_15.jpg,129.38,6.79,15.36,1.66,0.05,0.1,33.1,Mercadona,Dulces y Snacks
Barritas de chocolate con leche y avellanas Kinder bolsa 43 g,AzucarChocolatesCaramelos,"1,39 €",https://www.dia.es/product_images/37004/37004_ISO_0_ES.jpg?imwidth=176,572kcal,"37,3g","49,5g","8,6g",0.0,"0,27g",0.0,Día,Dulces y Snacks
"ALCAMPO CULTIVAMOS LO BUENO  Muslos de pollo certificado, deshuesado y con piel (escalopes).",pollo,"3,98 €","img_alcampo/pollo\ALCAMPO_CULTIVAMOS_LO_BUENO__Muslos_de_pollo_certificado,_deshuesado_y_con_piel_(escalopes)._1.jpg",182,8.8,26.4,11.4,0.0,0.5,7.7,Alcampo,Carnes y Pescados
Surtido bombones La Boutique del Praliné,Chocolate,"3,75 €",img_mercadona\Chocolate\Bombones\Surtido_bombones_La_Boutique_del_Praliné_9.jpg,129.38,6.79,15.36,1.66,0.37,0.06,26.11,Mercadona,Dulces y Snacks
Mini fuet con pavo Nuestra Alacena de Dia bolsa 50 g,CharcuteriaQuesos,"0,99 €",https://www.dia.es/product_images/297914/297914_ISO_0_ES.jpg?imwidth=176,462kcal,"37,1g","2,6g",29g,0.0,"3,71g",0.0,Día,Carnes y Pescados
Solomillo de cerdo Selección de Dia bolsa 600 g aprox.,Carniceria,"5,39 €",https://www.dia.es/product_images/11077/11077_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Carnes y Pescados
AUCHAN Yogur desnatado con sabor a limón (0.0% materia grasa) 4 x 125 g. Producto Alcampo,Yogures,"1,44 €",img_alcampo/Yogures\AUCHAN_Yogur_desnatado_con_sabor_a_limón_(0.0%_materia_grasa)_4_x_125_g._Producto_Alcampo_9.jpg,145,19.5,6.5,11.9,0.0,1.0,9.5,Alcampo,Lácteos y Huevos
Zumo de naranja sin azúcares añadidos Zumosfera de Dia brik 1 l,AguaRefrescosZumos,"0,99 €",https://www.dia.es/product_images/288688/288688_ISO_0_ES.jpg?imwidth=176,20kcal,0g,5g,"0,1g",0.0575997340425532,0g,0.0,Día,Bebidas
Margarina Proactiv tarrina 225 g,LecheHuevosMantequilla,"2,95 €",https://www.dia.es/product_images/65292/65292_ISO_0_ES.jpg?imwidth=176,315kcal,35g,"0,5g","0,5g",0.0,"0,3g",0.0,Día,Lácteos y Huevos
Leche desnatada Pascual brik 6 x 1 l,LecheHuevosMantequilla,"7,98 €",https://www.dia.es/product_images/73678P6/73678P6_ISO_0_ES.jpg?imwidth=176,36kcal,"0,3g","4,8g","3,4g",0.0,"0,13g",0.0,Día,Lácteos y Huevos
Pimientos del piquillo enteros al natural Vegecampo de Dia frasco 260 g,ConservasCaldosCremas,"1,37 €",https://www.dia.es/product_images/215665/215665_ISO_0_ES.jpg?imwidth=176,39kcal,0g,"8,9g","0,9g",0.0,"1,1g",0.0,Día,Alimentos Procesados
Media sandía selección unidad aprox. 2.5 Kg,Fruta,"4,30 €",https://www.dia.es/product_images/302210/302210_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Frutas y Verduras
Mantecado de canela La Muralla,Bollería envasada,"0,22 €",img_mercadona\Bollería_envasada\Polvorones_y_mazapanes\Mantecado_de_canela_La_Muralla_8.jpg,237.41,9.42,32.76,4.53,0.83,0.72,43.22,Mercadona,Dulces y Snacks
Cerveza Shandy sabor limón Steinburg,Cerveza,"0,33 €",img_mercadona\Cerveza\Combinado_de_cerveza\Cerveza_Shandy_sabor_limón_Steinburg_7.jpg,77.0,1.0,0.0,17.0,0.29,0.05,3.8,Mercadona,Bebidas
ATLANTICO Berberechos 45/55 58 g.,Conservas de Pescado,"7,69 €",img_alcampo/Conservas de Pescado\ATLANTICO_Berberechos_45-55_58_g._106.jpg,294,14.2,22.1,13.8,0.0,0.3,6.6,Alcampo,Alimentos Procesados
Sazonador ajo perejil Carmencita frasco 55 g,AceitesSalsasEspecias,"2,29 €",https://www.dia.es/product_images/188317/188317_ISO_0_ES.jpg?imwidth=176,236kcal,"0,9g","32,8g","17,4g",0.7854950495049505,"33,3g",0.0,Día,Alimentos Básicos
"EL POZO Jamón de cebo ibérico (50% raza ibérica), cortado en lonchas finas con separador de 60 g.",Charcuteria,"2,45 €","img_alcampo/Charcuteria\EL_POZO_Jamón_de_cebo_ibérico_(50%_raza_ibérica),_cortado_en_lonchas_finas_con_separador_de_60_g._126.jpg",197,5.1,26.5,23.6,0.0,0.7,1.3,Alcampo,Carnes y Pescados
GALLO Pasta tallarín GALLO paquete de 900 g.,Pasta Alimenticia,"1,70 €",img_alcampo/Pasta Alimenticia\GALLO_Pasta_tallarín_GALLO_paquete_de_900_g._68.jpg,261,16.5,19.3,16.5,0.0,0.3,4.2,Alcampo,Alimentos Básicos
Leche entera Central Lechera Asturiana brik 6 x 1 l,LecheHuevosMantequilla,"6,96 €",https://www.dia.es/product_images/16065P6/16065P6_ISO_0_ES.jpg?imwidth=176,63kcal,"3,6g","4,6g","3,1g",0.0,"0,1g",0.0,Día,Lácteos y Huevos
Queso semicurado El Cencerro de Dia sobre 200 g,CharcuteriaQuesos,"2,30 €",https://www.dia.es/product_images/263228/263228_ISO_0_ES.jpg?imwidth=176,392kcal,33g,"0,8g",23g,0.0,"1,5g",0.0,Día,Carnes y Pescados
Nuggets de merluza Pescanova bolsa 300 g,Congelados,"2,19 €",https://www.dia.es/product_images/289431/289431_ISO_0_ES.jpg?imwidth=176,163kcal,"4,8g","20,8g","8,6g",0.0,"0,53g",0.0,Día,Alimentos Procesados
Vino tinto D.O Ribera del Duero Abadía Mantrús crianza,Vino tinto,"4,50 €",img_mercadona\Vino_tinto\Ribera_del_Duero\Vino_tinto_D.O_Ribera_del_Duero_Abadía_Mantrús_crianza_0.jpg,179.68,6.74,20.81,8.41,0.0,0.03,2.57,Mercadona,Bebidas
Nachips Old El Paso bolsa 200 g,PatatasFritasEncurtidosFrutosSecos,"2,75 €",https://www.dia.es/product_images/111394/111394_ISO_0_ES.jpg?imwidth=176,500kcal,"26,7g","56,4g","6,2g",0.7283347493627867,"0,49g",0.0,Día,Dulces y Snacks
Helado de chocolate Hacendado,Helados,"2,75 €",img_mercadona\Helados\Tarrinas\Helado_de_chocolate_Hacendado_1.jpg,353.8,7.92,64.52,6.0,0.44,0.06,26.27,Mercadona,Dulces y Snacks
Quinoa cocida blanca y roja Sabroz,Arroz,"1,40 €",img_mercadona\Arroz\Arroz\Quinoa_cocida_blanca_y_roja_Sabroz_5.jpg,389.0,6.1,66.05,14.0,0.0,1.72,0.93,Mercadona,Alimentos Básicos
NOMEN Arroz redondo en vasitos pack 2 x 125 g.,Arroz y Legumbres,"1,24 €",img_alcampo/Arroz y Legumbres\NOMEN_Arroz_redondo_en_vasitos_pack_2_x_125_g._235.jpg,284,10.0,28.9,19.8,0.0,1.1,3.9,Alcampo,Alimentos Básicos
ALCAMPO CULTIVAMOS LO BUENO Chorizo picante oreado cerdo duroc  350 g.,carne_elaborados,"5,25 €",img_alcampo/carne_elaborados\ALCAMPO_CULTIVAMOS_LO_BUENO_Chorizo_picante_oreado_cerdo_duroc__350_g._13.jpg,234,5.9,4.5,27.3,0.0,1.8,4.2,Alcampo,Carnes y Pescados
DANTZA Tomate triturado extra lata de 390 g.,Conservas Vegetales,"1,39 €",img_alcampo/Conservas Vegetales\DANTZA_Tomate_triturado_extra_lata_de_390_g._26.jpg,120,15.4,16.3,12.7,0.0,1.0,4.7,Alcampo,Alimentos Procesados
Vino tinto D.O Valdepeñas Pata Negra reserva,Vino tinto,"2,75 €",img_mercadona\Vino_tinto\Castilla_la_Mancha\Vino_tinto_D.O_Valdepeñas_Pata_Negra_reserva_2.jpg,179.68,6.74,20.81,8.41,0.0,0.01,4.89,Mercadona,Bebidas
Carne de vieira Mari Marinera de Dia bandeja 200 g,Congelados,"9,99 €",https://www.dia.es/product_images/296780/296780_ISO_0_ES.jpg?imwidth=176,65kcal,"0,5g","3,2g",12g,0.0,1g,0.0,Día,Alimentos Procesados
Miel de flores antigoteo Granja san fancisco bote 350 g,AzucarChocolatesCaramelos,"5,50 €",https://www.dia.es/product_images/17255/17255_ISO_0_ES.jpg?imwidth=176,320kcal,"0,2g",79g,"0,3g",0.0,"0,03g",0.0,Día,Dulces y Snacks
CENTRAL LECHERA ASTURIANA Nata líquida (38 % de materia grasa y 100% natural) para montar CENTRAL LECHERA ASTURIANA 200 ml.,Nata,"1,34 €",img_alcampo/Nata\CENTRAL_LECHERA_ASTURIANA_Nata_líquida_(38_%_de_materia_grasa_y_100%_natural)_para_montar_CENTRAL_LECHERA_ASTURIANA_200_ml._10.jpg,249,12.1,1.7,10.9,0.0,1.0,9.8,Alcampo,Lácteos y Huevos
Café en cápsulas espresso extra intenso Arom'arte de Dia caja 20 unidades,CafeCacaoInfusiones,"3,95 €",https://www.dia.es/product_images/273823/273823_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Bebidas
Vino blanco verdejo D.O. Valdepeñas  Molinos botella 75 cl,CervezasVinoBebidasAlcoholicas,"2,25 €",https://www.dia.es/product_images/712/712_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Bebidas
Vino tinto Porto Tawny Almeida Dias,Vino blanco,"7,00 €",img_mercadona\Vino_blanco\Vinos_dulces_y_mosto\Vino_tinto_Porto_Tawny_Almeida_Dias_5.jpg,179.68,6.74,20.81,8.41,0.0,0.03,1.77,Mercadona,Bebidas
Tomate frito Hida,Otras salsas,"1,75 €",img_mercadona\Otras_salsas\Tomate_frito\Tomate_frito_Hida_5.jpg,158.12,9.45,14.72,2.57,1.2,0.78,7.12,Mercadona,Alimentos Básicos
Vino fino D.O. Montilla Moriles Singular botella 75 cl,CervezasVinoBebidasAlcoholicas,"2,85 €",https://www.dia.es/product_images/103230/103230_ISO_0_ES.jpg?imwidth=176,84kcal,0g,"0,2g",0g,0.0,"4,2g",0.0,Día,Bebidas
AUCHAN Taquitos de jamón curado en bodega 2 x 75 g. Producto Alcampo,Charcuteria,"1,74 €",img_alcampo/Charcuteria\AUCHAN_Taquitos_de_jamón_curado_en_bodega_2_x_75_g._Producto_Alcampo_20.jpg,280,18.9,24.0,13.8,0.0,1.5,5.1,Alcampo,Carnes y Pescados
Pizza romana Hacendado con champiñones salteados,Pizzas,"2,90 €",img_mercadona\Pizzas\Pizzas_refrigeradas\Pizza_romana_Hacendado_con_champiñones_salteados_17.jpg,257.33,6.85,37.62,11.0,4.14,2.23,1.98,Mercadona,Alimentos Procesados
Bebida energética sabor piña y coco El diablo de Dia lata 50 cl,AguaRefrescosZumos,"0,99 €",https://www.dia.es/product_images/293435/293435_ISO_0_ES.jpg?imwidth=176,21kcal,0g,"4,9g",0g,0.0,"0,14g",0.0,Día,Bebidas
Patatas fritas paprika Pringles bote 165 g,PatatasFritasEncurtidosFrutosSecos,"2,55 €",https://www.dia.es/product_images/131253/131253_ISO_0_ES.jpg?imwidth=176,515kcal,29g,55g,"6,7g",0.7283347493627867,"1,3g",0.0,Día,Dulces y Snacks
ALCAMPO ECOLÓGICO Garbanzos Pedrosillano ALCAMPO ECOLÓGICO 500 g.,Arroz y Legumbres,"1,63 €",img_alcampo/Arroz y Legumbres\ALCAMPO_ECOLÓGICO_Garbanzos_Pedrosillano_ALCAMPO_ECOLÓGICO_500_g._74.jpg,144,17.3,23.2,18.2,0.0,1.8,8.1,Alcampo,Alimentos Básicos
Refresco naranja zero Schweppes lata 33 cl,AguaRefrescosZumos,"0,95 €",https://www.dia.es/product_images/47587/47587_ISO_0_ES.jpg?imwidth=176,2kcal,0g,"0,2g",0g,0.0,"0,02g",0.0,Día,Bebidas
Taquitos de salmón ahumado Hacendado,Salazones y ahumados,"3,80 €",img_mercadona\Salazones_y_ahumados\Ahumados\Taquitos_de_salmón_ahumado_Hacendado_5.jpg,245.75,15.75,8.75,16.88,0.0,2.17,0.26,Mercadona,Carnes y Pescados
ALTA COCINA Acelgas frasco de 400 g.,Conservas Vegetales,"1,69 €",img_alcampo/Conservas Vegetales\ALTA_COCINA_Acelgas_frasco_de_400_g._40.jpg,291,16.1,28.1,22.8,0.0,0.9,8.2,Alcampo,Alimentos Procesados
USISA Boquerones en aceite de Oliva 84 g.,ahumados_surimis_anchoas_pulpos_otros,"6,55 €",img_alcampo/ahumados_surimis_anchoas_pulpos_otros\USISA_Boquerones_en_aceite_de_Oliva_84_g._180.jpg,257,10.8,3.6,24.5,0.0,0.2,0.4,Alcampo,Carnes y Pescados
Calamar grande origen Sudáfrica - Entero limpio,pescados_mariscos_moluscos,"16,59 €",img_alcampo/pescados_mariscos_moluscos\Calamar_grande_origen_Sudáfrica_-_Entero_limpio_72.jpg,230,15.3,28.7,10.8,0.0,1.2,4.9,Alcampo,Carnes y Pescados
Surtido de picos y regañás Horno el antequerano bolsa 150 g,PanesHarinasMasas,"1,59 €",https://www.dia.es/product_images/296453/296453_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Alimentos Básicos
Cerveza doble malta Voll-Damm,Cerveza,"4,74 €",img_mercadona\Cerveza\Cerveza_lata\Cerveza_doble_malta_Voll-Damm_6.jpg,77.0,1.0,0.0,17.0,0.05,0.0,0.49,Mercadona,Bebidas
Bandeja con burger meat de pollo con rebozado crujiente EL POZO King 2 x 120 g.,carne_elaborados,"5,59 €",img_alcampo/carne_elaborados\Bandeja_con_burger_meat_de_pollo_con_rebozado_crujiente_EL_POZO_King_2_x_120_g._76.jpg,181,7.6,19.1,11.6,0.0,1.7,7.7,Alcampo,Carnes y Pescados
Salsa César Hacendado,Otras salsas,"1,40 €",img_mercadona\Otras_salsas\Otras_salsas\Salsa_César_Hacendado_6.jpg,342.0,31.0,13.5,2.3,0.5,2.75,7.57,Mercadona,Alimentos Básicos
Queso edam Selección Mundial de Dia sobre 240 g,CharcuteriaQuesos,"1,67 €",https://www.dia.es/product_images/263217/263217_ISO_0_ES.jpg?imwidth=176,307kcal,"22,9g",0g,"25,6g",0.0,2g,0.0,Día,Carnes y Pescados
Golosinas Mini Mix con pica Hacendado,Golosinas,"1,60 €",img_mercadona\Golosinas\Golosinas\Golosinas_Mini_Mix_con_pica_Hacendado_20.jpg,277.89,0.53,65.22,2.41,0.81,0.05,66.91,Mercadona,Dulces y Snacks
OSCAR MAYER Salchichas cocidas con bacon y queso y sabor ahumado OSCAR MAYER Jumbo 335 g.,Charcuteria,"3,79 €",img_alcampo/Charcuteria\OSCAR_MAYER_Salchichas_cocidas_con_bacon_y_queso_y_sabor_ahumado_OSCAR_MAYER_Jumbo_335_g._15.jpg,141,16.3,6.8,14.3,0.0,0.5,6.6,Alcampo,Carnes y Pescados
Refresco de naranja Hacendado zero fresh gas,Refresco de naranja y de limón,"0,92 €",img_mercadona\Refresco_de_naranja_y_de_limón\Naranja\Refresco_de_naranja_Hacendado_zero_fresh_gas_10.jpg,179.68,6.74,20.81,8.41,0.0,0.02,0.04,Mercadona,Bebidas
"Chuletas de calidad extra de aguja, palo o riñonada de cordero",carne_cordero,"12,99 €","img_alcampo/carne_cordero\Chuletas_de_calidad_extra_de_aguja,_palo_o_riñonada_de_cordero_11.jpg",280,19.9,1.0,19.2,0.0,0.7,4.6,Alcampo,Carnes y Pescados
Surtido de chocolatinas Navidad Kinder lata 34 g,AzucarChocolatesCaramelos,"2,99 €",https://www.dia.es/product_images/289502/289502_ISO_0_ES.jpg?imwidth=176,566kcal,35g,"53,5g","8,7g",0.0,"0,31g",0.0,Día,Dulces y Snacks
Bebida isotónica limón Aquarius,Isotónico y energético,"0,89 €",img_mercadona\Isotónico_y_energético\Isotónico\Bebida_isotónica_limón_Aquarius_2.jpg,31.33,0.0,7.33,0.0,0.93,0.12,9.12,Mercadona,Bebidas
AOSTE Mousse de foie de pato AOSTE 100 g.,Charcuteria,"1,89 €",img_alcampo/Charcuteria\AOSTE_Mousse_de_foie_de_pato_AOSTE_100_g._19.jpg,134,8.7,28.6,13.2,0.0,1.3,3.9,Alcampo,Carnes y Pescados
Café molido natural Colombia Arom'arte de Dia bolsa 250 g,CafeCacaoInfusiones,"4,39 €",https://www.dia.es/product_images/6077/6077_ISO_0_ES.jpg?imwidth=176,296kcal,9g,12g,14g,0.0,0,0.0,Día,Bebidas
CALVO Sardinas en aceite de girasol 84 g.,Conservas de Pescado,"1,00 €",img_alcampo/Conservas de Pescado\CALVO_Sardinas_en_aceite_de_girasol_84_g._138.jpg,252,7.0,18.7,11.4,0.0,0.3,9.6,Alcampo,Alimentos Procesados
Vino tinto de Ribera del Queiles Garnacha salvaje moncayo botella 75 cl,CervezasVinoBebidasAlcoholicas,"8,99 €",https://www.dia.es/product_images/282759/282759_ISO_0_ES.jpg?imwidth=176,0,0,0,0,0.0,0,0.0,Día,Bebidas
Bebida energética Energy Monster,Isotónico y energético,"1,79 €",img_mercadona\Isotónico_y_energético\Energético\Bebida_energética_Energy_Monster_5.jpg,31.33,0.0,7.33,0.0,0.68,0.14,28.16,Mercadona,Bebidas
Galletas de cereales con chocolate blanco Artiach Dinosaurus caja 264 g,GalletasBollosCereales,"3,55 €",https://www.dia.es/product_images/296176/296176_ISO_0_ES.jpg?imwidth=176,508kcal,22g,71g,"5,6g",0.42498364944408107,"0,75g",0.0,Día,Alimentos Procesados
Bebida de almendras 0% azúcares Vegedia brik 1 l,LecheHuevosMantequilla,"1,30 €",https://www.dia.es/product_images/267684/267684_ISO_0_ES.jpg?imwidth=176,24kcal,"2,2g","0,3g","0,8g",0.0,"0,14g",0.0,Día,Lácteos y Huevos
Cuajada Caprichoso Dia pack 4 x 125 g,YoguresPostres,"1,20 €",https://www.dia.es/product_images/27195/27195_ISO_0_ES.jpg?imwidth=176,95kcal,"5,3g","6,7g","4,9g",0.0,"0,2g",0.0,Día,Lácteos y Huevos
"Panales de cabello de ángel, 2 uds.",Pasteleria,"3,88 €","img_alcampo/Pasteleria\Panales_de_cabello_de_ángel,_2_uds._58.jpg",151,17.2,17.6,11.8,0.0,1.6,8.5,Alcampo,Dulces y Snacks
Aperitivo de maíz sabor queso volcano Takis bolsa 140 g,PatatasFritasEncurtidosFrutosSecos,"2,39 €",https://www.dia.es/product_images/243086/243086_ISO_0_ES.jpg?imwidth=176,538kcal,29g,60g,"6,3g",0.7283347493627867,"1,9g",0.0,Día,Dulces y Snacks
Refresco de cola zero Hola Cola de Dia botella 500 ml,AguaRefrescosZumos,"0,55 €",https://www.dia.es/product_images/203768/203768_ISO_0_ES.jpg?imwidth=176,Menos de una kcal,0g,0g,0g,0.0,"0,02g",0.0,Día,Bebidas
Pan tostado tradicional Ortiz bolsa 36 unidades,PanesHarinasMasas,"2,99 €",https://www.dia.es/product_images/244234/244234_ISO_0_ES.jpg?imwidth=176,395kcal,"4,8g",74g,12g,0.7854950495049505,"1,1g",0.0,Día,Alimentos Básicos
EL CASERÍO Queso en lonchas 14 uds EL CASERÍO 262 g.,Quesos,"2,63 €",img_alcampo/Quesos\EL_CASERÍO_Queso_en_lonchas_14_uds_EL_CASERÍO_262_g._42.jpg,220,6.4,14.2,18.7,0.0,0.5,1.8,Alcampo,Lácteos y Huevos
ACTIVIA Bífidus con avena y nueces de Danone 4 x 115 g.,Yogures,"1,44 €",img_alcampo/Yogures\ACTIVIA_Bífidus_con_avena_y_nueces_de_Danone_4_x_115_g._289.jpg,206,6.2,11.5,20.5,0.0,1.2,7.2,Alcampo,Lácteos y Huevos
TIGER KHAN Pasta fideos de arroz sin gluten TIGER KHAN 250 g.,Pasta Alimenticia,"2,27 €",img_alcampo/Pasta Alimenticia\TIGER_KHAN_Pasta_fideos_de_arroz_sin_gluten_TIGER_KHAN_250_g._98.jpg,204,9.2,10.9,19.8,0.0,1.6,7.8,Alcampo,Alimentos Básicos
Tortilla de patata con calabacín Listo para Comer,Listo para Comer,"8,00 €",img_mercadona\Listo_para_Comer\Platos_calientes\Tortilla_de_patata_con_calabacín_Listo_para_Comer_0.jpg,127.36,4.41,14.41,7.23,1.45,1.08,1.88,Mercadona,Alimentos Procesados
PRODUCTO ALCAMPO Pasta integral con forma de espirales 500 g.,Pasta Alimenticia,"1,00 €",img_alcampo/Pasta Alimenticia\PRODUCTO_ALCAMPO_Pasta_integral_con_forma_de_espirales_500_g._132.jpg,284,16.7,4.7,21.1,0.0,0.9,0.9,Alcampo,Alimentos Básicos
"Cerveza radler con limón 0,0% alcohol Amstel lata 12 x 33 cl",CervezasVinoBebidasAlcoholicas,"8,99 €",https://www.dia.es/product_images/277449/277449_ISO_0_ES.jpg?imwidth=176,30kcal,0g,"7,5g",0g,0.0,"0,01g",0.0,Día,Bebidas
SLIM Arroz ecológico SLIM RICE 270 g.,Arroz y Legumbres,"2,48 €",img_alcampo/Arroz y Legumbres\SLIM_Arroz_ecológico_SLIM_RICE_270_g._26.jpg,220,9.4,25.0,19.5,0.0,1.9,2.8,Alcampo,Alimentos Básicos
Patatas fritas sabor campesina Lay's bolsa 150 g,PatatasFritasEncurtidosFrutosSecos,"1,99 €",https://www.dia.es/product_images/17312/17312_ISO_0_ES.jpg?imwidth=176,512kcal,29g,53g,6g,0.7283347493627867,"0,65g",0.0,Día,Dulces y Snacks
Vino blanco D.O Rías Baixas albariño Ponte Tamuxe,Vino blanco,"7,45 €",img_mercadona\Vino_blanco\Rioja_y_otras_denominaciones\Vino_blanco_D.O_Rías_Baixas_albariño_Ponte_Tamuxe_7.jpg,179.68,6.74,20.81,8.41,0.0,0.04,1.88,Mercadona,Bebidas
Salteado de verduras Hacendado ultracongelado,Verdura (congelados),"1,48 €",img_mercadona\Verdura_(congelados)\Verdura\Salteado_de_verduras_Hacendado_ultracongelado_42.jpg,91.36,2.11,12.64,3.82,1.65,0.22,1.59,Mercadona,Frutas y Verduras
